Periodo,1.IPC General,2.IPCX,3.IPCX1,4.IPC SAE,5.IPC sin volátiles,6.IPC Servicios sin volátiles,7.IPC Bienes sin volátiles,8.IPC volátil,9.IPC Alimentos volátiles,10.IPC Energía volátiles,11.IPC Resto de volátiles
Jan-1929,,,,,,,,,,,
Feb-1929,,,,,,,,,,,
Mar-1929,4.00,,,,,,,,,,
Apr-1929,2.00,,,,,,,,,,
May-1929,0.00,,,,,,,,,,
Jun-1929,1.80,,,,,,,,,,
Jul-1929,1.80,,,,,,,,,,
Aug-1929,3.70,,,,,,,,,,
Sep-1929,0.00,,,,,,,,,,
Oct-1929,1.80,,,,,,,,,,
Nov-1929,3.70,,,,,,,,,,
Dec-1929,7.40,,,,,,,,,,
Jan-1930,1.90,,,,,,,,,,
Feb-1930,0.00,,,,,,,,,,
Mar-1930,0.00,,,,,,,,,,
Apr-1930,1.90,,,,,,,,,,
May-1930,1.90,,,,,,,,,,
Jun-1930,0.00,,,,,,,,,,
Jul-1930,0.00,,,,,,,,,,
Aug-1930,-1.80,,,,,,,,,,
Sep-1930,-5.20,,,,,,,,,,
Oct-1930,0.00,,,,,,,,,,
Nov-1930,-1.80,,,,,,,,,,
Dec-1930,-5.20,,,,,,,,,,
Jan-1931,0.00,,,,,,,,,,
Feb-1931,-1.90,,,,,,,,,,
Mar-1931,0.00,,,,,,,,,,
Apr-1931,-3.80,,,,,,,,,,
May-1931,-1.90,,,,,,,,,,
Jun-1931,-1.80,,,,,,,,,,
Jul-1931,0.00,,,,,,,,,,
Aug-1931,0.00,,,,,,,,,,
Sep-1931,0.00,,,,,,,,,,
Oct-1931,-3.60,,,,,,,,,,
Nov-1931,-3.60,,,,,,,,,,
Dec-1931,0.00,,,,,,,,,,
Jan-1932,-7.50,,,,,,,,,,
Feb-1932,-3.90,,,,,,,,,,
Mar-1932,-1.90,,,,,,,,,,
Apr-1932,2.00,,,,,,,,,,
May-1932,1.90,,,,,,,,,,
Jun-1932,1.80,,,,,,,,,,
Jul-1932,0.00,,,,,,,,,,
Aug-1932,5.50,,,,,,,,,,
Sep-1932,18.20,,,,,,,,,,
Oct-1932,22.20,,,,,,,,,,
Nov-1932,24.10,,,,,,,,,,
Dec-1932,23.60,,,,,,,,,,
Jan-1933,38.80,,,,,,,,,,
Feb-1933,38.80,,,,,,,,,,
Mar-1933,33.30,,,,,,,,,,
Apr-1933,32.70,,,,,,,,,,
May-1933,31.50,,,,,,,,,,
Jun-1933,30.90,,,,,,,,,,
Jul-1933,30.90,,,,,,,,,,
Aug-1933,25.90,,,,,,,,,,
Sep-1933,13.90,,,,,,,,,,
Oct-1933,10.60,,,,,,,,,,
Nov-1933,6.00,,,,,,,,,,
Dec-1933,4.40,,,,,,,,,,
Jan-1934,1.50,,,,,,,,,,
Feb-1934,0.00,,,,,,,,,,
Mar-1934,1.50,,,,,,,,,,
Apr-1934,1.40,,,,,,,,,,
May-1934,0.00,,,,,,,,,,
Jun-1934,-1.40,,,,,,,,,,
Jul-1934,0.00,,,,,,,,,,
Aug-1934,-2.70,,,,,,,,,,
Sep-1934,-1.40,,,,,,,,,,
Oct-1934,-2.70,,,,,,,,,,
Nov-1934,2.80,,,,,,,,,,
Dec-1934,4.20,,,,,,,,,,
Jan-1935,7.20,,,,,,,,,,
Feb-1935,4.40,,,,,,,,,,
Mar-1935,2.90,,,,,,,,,,
Apr-1935,2.90,,,,,,,,,,
May-1935,1.40,,,,,,,,,,
Jun-1935,1.40,,,,,,,,,,
Jul-1935,1.40,,,,,,,,,,
Aug-1935,1.40,,,,,,,,,,
Sep-1935,0.00,,,,,,,,,,
Oct-1935,2.80,,,,,,,,,,
Nov-1935,0.00,,,,,,,,,,
Dec-1935,-1.40,,,,,,,,,,
Jan-1936,-1.40,,,,,,,,,,
Feb-1936,4.20,,,,,,,,,,
Mar-1936,5.60,,,,,,,,,,
Apr-1936,5.50,,,,,,,,,,
May-1936,8.30,,,,,,,,,,
Jun-1936,9.70,,,,,,,,,,
Jul-1936,9.60,,,,,,,,,,
Aug-1936,11.10,,,,,,,,,,
Sep-1936,11.00,,,,,,,,,,
Oct-1936,13.70,,,,,,,,,,
Nov-1936,12.30,,,,,,,,,,
Dec-1936,12.30,,,,,,,,,,
Jan-1937,12.30,,,,,,,,,,
Feb-1937,8.10,,,,,,,,,,
Mar-1937,10.70,,,,,,,,,,
Apr-1937,13.20,,,,,,,,,,
May-1937,12.80,,,,,,,,,,
Jun-1937,13.90,,,,,,,,,,
Jul-1937,13.70,,,,,,,,,,
Aug-1937,15.00,,,,,,,,,,
Sep-1937,14.80,,,,,,,,,,
Oct-1937,12.00,,,,,,,,,,
Nov-1937,13.40,,,,,,,,,,
Dec-1937,9.80,,,,,,,,,,
Jan-1938,8.50,,,,,,,,,,
Feb-1938,11.20,,,,,,,,,,
Mar-1938,8.40,,,,,,,,,,
Apr-1938,7.00,,,,,,,,,,
May-1938,6.80,,,,,,,,,,
Jun-1938,4.40,,,,,,,,,,
Jul-1938,3.30,,,,,,,,,,
Aug-1938,1.10,,,,,,,,,,
Sep-1938,1.10,,,,,,,,,,
Oct-1938,1.10,,,,,,,,,,
Nov-1938,1.10,,,,,,,,,,
Dec-1938,2.20,,,,,,,,,,
Jan-1939,1.10,,,,,,,,,,
Feb-1939,-1.10,,,,,,,,,,
Mar-1939,0.00,,,,,,,,,,
Apr-1939,1.10,,,,,,,,,,
May-1939,0.00,,,,,,,,,,
Jun-1939,0.00,,,,,,,,,,
Jul-1939,-1.10,,,,,,,,,,
Aug-1939,0.00,,,,,,,,,,
Sep-1939,0.00,,,,,,,,,,
Oct-1939,3.20,,,,,,,,,,
Nov-1939,5.30,,,,,,,,,,
Dec-1939,7.60,,,,,,,,,,
Jan-1940,6.70,,,,,,,,,,
Feb-1940,11.40,,,,,,,,,,
Mar-1940,10.00,,,,,,,,,,
Apr-1940,9.70,,,,,,,,,,
May-1940,9.60,,,,,,,,,,
Jun-1940,13.80,,,,,,,,,,
Jul-1940,14.00,,,,,,,,,,
Aug-1940,16.10,,,,,,,,,,
Sep-1940,20.20,,,,,,,,,,
Oct-1940,17.50,,,,,,,,,,
Nov-1940,13.10,,,,,,,,,,
Dec-1940,9.10,,,,,,,,,,
Jan-1941,12.50,,,,,,,,,,
Feb-1941,12.30,,,,,,,,,,
Mar-1941,14.10,,,,,,,,,,
Apr-1941,12.70,,,,,,,,,,
May-1941,15.50,,,,,,,,,,
Jun-1941,13.10,,,,,,,,,,
Jul-1941,15.10,,,,,,,,,,
Aug-1941,14.80,,,,,,,,,,
Sep-1941,15.00,,,,,,,,,,
Oct-1941,15.80,,,,,,,,,,
Nov-1941,17.00,,,,,,,,,,
Dec-1941,23.10,,,,,,,,,,
Jan-1942,24.10,,,,,,,,,,
Feb-1942,24.60,,,,,,,,,,
Mar-1942,26.50,,,,,,,,,,
Apr-1942,29.50,,,,,,,,,,
May-1942,27.70,,,,,,,,,,
Jun-1942,24.80,,,,,,,,,,
Jul-1942,24.60,,,,,,,,,,
Aug-1942,26.60,,,,,,,,,,
Sep-1942,23.10,,,,,,,,,,
Oct-1942,25.50,,,,,,,,,,
Nov-1942,26.50,,,,,,,,,,
Dec-1942,25.50,,,,,,,,,,
Jan-1943,22.40,,,,,,,,,,
Feb-1943,21.80,,,,,,,,,,
Mar-1943,18.20,,,,,,,,,,
Apr-1943,18.10,,,,,,,,,,
May-1943,18.40,,,,,,,,,,
Jun-1943,21.20,,,,,,,,,,
Jul-1943,19.10,,,,,,,,,,
Aug-1943,15.30,,,,,,,,,,
Sep-1943,14.40,,,,,,,,,,
Oct-1943,11.10,,,,,,,,,,
Nov-1943,10.50,,,,,,,,,,
Dec-1943,7.80,,,,,,,,,,
Jan-1944,11.60,,,,,,,,,,
Feb-1944,8.40,,,,,,,,,,
Mar-1944,8.90,,,,,,,,,,
Apr-1944,8.50,,,,,,,,,,
May-1944,8.90,,,,,,,,,,
Jun-1944,6.00,,,,,,,,,,
Jul-1944,7.70,,,,,,,,,,
Aug-1944,10.50,,,,,,,,,,
Sep-1944,14.80,,,,,,,,,,
Oct-1944,19.00,,,,,,,,,,
Nov-1944,19.60,,,,,,,,,,
Dec-1944,15.00,,,,,,,,,,
Jan-1945,12.60,,,,,,,,,,
Feb-1945,14.40,,,,,,,,,,
Mar-1945,13.60,,,,,,,,,,
Apr-1945,10.50,,,,,,,,,,
May-1945,8.20,,,,,,,,,,
Jun-1945,10.40,,,,,,,,,,
Jul-1945,9.80,,,,,,,,,,
Aug-1945,8.00,,,,,,,,,,
Sep-1945,7.10,,,,,,,,,,
Oct-1945,6.00,,,,,,,,,,
Nov-1945,0.50,,,,,,,,,,
Dec-1945,7.70,,,,,,,,,,
Jan-1946,9.70,,,,,,,,,,
Feb-1946,8.20,,,,,,,,,,
