Periodo,1.Estados Unidos,2.Reino Unido,3.Japón,4.Zora Euro,5.Corea del Sur,6.China,7.Malasia,8.Polonia,9.República Checa,10.Rusia,11.Tailandia,12.Argentina,13.Brasil,14.Colombia,15.México,16.Perú
Jan-1990,5.20,5.70,3.00,,7.30,4.30,,,,,5.91,,"2,426.12",26.69,22.48,
Feb-1990,5.30,5.90,3.60,,7.60,4.40,,,,,5.64,,"3,701.29",27.12,23.57,
Mar-1990,5.20,6.00,3.50,,8.00,3.40,,,,,6.02,,"6,390.53",27.63,24.40,
Apr-1990,4.70,6.40,2.50,,8.70,3.20,,,,,6.83,,"6,821.31",27.98,24.43,
May-1990,4.40,6.80,2.70,,8.60,2.70,,,,,6.60,,"6,214.99",28.24,24.89,
Jun-1990,4.70,6.90,2.20,,8.90,1.10,,,,,6.57,,"5,385.43",28.97,26.11,
Jul-1990,4.80,6.80,2.30,,9.40,1.10,,,,,5.30,,"4,749.03",28.72,27.13,
Aug-1990,5.60,7.70,2.90,,9.00,2.50,,,,,4.66,,"3,993.62",28.98,28.08,
Sep-1990,6.20,8.10,3.00,,8.60,2.90,,,,,4.44,,"3,304.71",30.24,28.68,
Oct-1990,6.30,8.10,3.50,,8.70,3.10,,,,,5.76,,"2,685.74",30.65,28.62,
Nov-1990,6.30,7.80,4.20,,8.60,3.70,,,,,6.53,,"2,101.34",30.97,30.21,
Dec-1990,6.10,7.60,3.80,,9.30,4.30,,,,,6.38,,"1,620.97",32.36,29.93,
Jan-1991,5.70,7.10,4.00,,9.20,2.20,,,,,6.14,,"1,140.27",31.98,27.11,
Feb-1991,5.30,7.00,3.60,,9.90,1.80,,,,,5.89,,752.02,31.65,26.46,
Mar-1991,4.90,6.90,3.60,,10.10,1.60,,,,,5.51,,422.84,31.18,26.04,
Apr-1991,4.90,8.40,3.40,,9.40,1.30,,,,,6.04,,375.18,31.16,25.45,
May-1991,5.00,8.20,3.40,,8.50,3.60,,,,,6.36,,374.48,31.49,24.51,
Jun-1991,4.70,8.40,3.40,,8.70,4.40,,,,,5.96,,372.10,31.00,23.10,
Jul-1991,4.40,8.30,3.50,,9.00,4.70,,,,,5.38,,369.96,31.60,21.97,
Aug-1991,3.80,7.90,3.30,,9.50,4.90,,,,,5.95,,381.41,31.20,20.76,
Sep-1991,3.40,7.10,2.70,,9.40,4.50,,,,,6.67,,386.55,30.01,20.25,
Oct-1991,2.90,6.80,2.70,,9.30,4.80,,,,,5.25,,411.52,29.25,19.92,
Nov-1991,3.00,7.10,3.10,,9.70,4.40,,,,,4.69,,448.31,28.22,19.72,
Dec-1991,3.10,7.20,2.70,,9.30,4.50,,,,,4.72,,472.70,26.82,18.79,
Jan-1992,2.60,7.00,1.80,,7.70,5.50,,39.00,,746.70,5.08,,497.32,27.43,17.95,
Feb-1992,2.80,6.90,2.00,,7.00,5.30,,41.30,,"1,014.90",4.50,,515.13,27.35,17.30,
Mar-1992,3.20,7.10,2.00,,6.80,5.30,,44.30,,"1,262.40",4.31,,567.21,27.08,16.82,
Apr-1992,3.20,4.70,2.40,,6.90,7.10,,46.50,,914.10,3.36,,662.16,27.15,16.64,
May-1992,3.00,4.30,2.00,,7.30,4.70,,46.40,,"1,001.70",4.22,,785.81,27.30,16.28,
Jun-1992,3.10,3.80,2.30,,6.80,4.80,,45.40,,"1,196.60",4.58,,857.68,28.13,15.85,
Jul-1992,3.20,3.60,1.70,,6.60,5.20,,44.30,,"1,325.50",5.13,,937.94,28.36,15.56,
Aug-1992,3.10,3.00,1.70,,5.90,5.80,,37.50,,"1,440.40",5.08,,996.37,27.70,15.46,
Sep-1992,3.00,3.00,2.00,,5.70,7.50,,39.70,,"1,598.80",3.98,,"1,081.70",26.92,15.32,
Oct-1992,3.20,2.90,1.10,,5.40,7.90,,39.70,,"1,917.30",3.46,,"1,130.94",26.32,14.82,
Nov-1992,3.00,2.60,0.70,,4.40,8.20,,38.10,,"2,235.90",2.94,,"1,104.20",25.70,12.96,
Dec-1992,2.90,2.60,1.20,,4.50,8.80,,35.80,,"2,508.80",3.11,,"1,119.10",25.13,11.94,
Jan-1993,3.30,2.20,1.30,,4.50,10.30,,34.30,21.20,850.50,2.94,,"1,161.79",24.82,11.32,
Feb-1993,3.20,2.40,1.40,,4.60,10.80,,34.80,21.90,758.90,3.28,,"1,168.49",24.71,10.91,
Mar-1993,3.10,2.50,1.20,,4.80,12.20,,34.40,21.90,694.10,3.46,,"1,229.71",24.18,10.44,
Apr-1993,3.20,2.50,0.90,,4.80,12.60,,31.00,21.80,674.50,4.12,,"1,316.42",23.08,10.09,
May-1993,3.20,2.50,0.90,,4.50,14.00,,29.80,21.80,717.40,2.54,,"1,348.52",22.21,10.00,
Jun-1993,3.00,2.40,0.90,,4.80,15.10,,33.00,21.80,722.90,2.53,,"1,467.33",21.38,9.87,
Jul-1993,2.80,2.60,1.90,,4.30,16.20,,37.60,21.30,810.60,3.20,,"1,581.70",20.46,9.70,
Aug-1993,2.80,2.90,1.90,,4.40,16.40,,32.40,21.40,956.50,2.50,,"1,730.67",21.07,9.62,
Sep-1993,2.70,3.10,1.50,,4.60,15.70,,29.90,20.90,"1,065.50",3.49,,"1,893.13",21.43,9.48,
Oct-1993,2.80,2.60,1.30,,5.10,15.90,,30.20,19.90,"1,033.20",3.49,,"2,031.27",21.69,9.14,
Nov-1993,2.70,2.30,0.90,,5.50,16.70,,31.20,17.90,946.00,3.68,,"2,258.68",22.37,8.72,
Dec-1993,2.70,2.40,1.00,,5.80,18.80,,31.20,18.20,839.90,4.37,,"2,477.15",22.60,8.01,
Jan-1994,2.50,2.70,1.20,,6.40,21.10,,32.70,9.70,780.90,4.69,,"2,693.84",22.50,7.50,35.48
Feb-1994,2.50,2.50,1.10,,6.80,23.20,,32.80,9.70,682.80,4.50,,"3,035.71",23.01,7.18,34.01
Mar-1994,2.50,2.20,1.30,,6.40,22.40,,32.20,9.40,600.10,5.16,,"3,417.39",23.41,7.10,31.55
Apr-1994,2.40,2.00,0.80,,5.90,21.70,,34.60,9.20,539.90,4.46,,"3,828.49",23.94,7.01,27.92
May-1994,2.30,2.00,0.80,,5.70,21.30,,36.10,9.30,479.20,5.28,,"4,331.19",23.86,6.92,25.05
Jun-1994,2.50,2.00,0.60,,5.90,22.60,,33.50,9.70,412.10,5.58,,"4,922.60",23.08,6.85,24.22
Jul-1994,2.80,1.70,-0.20,,6.90,24.00,,29.50,9.70,340.70,4.87,,"4,005.08",22.69,6.81,21.98
Aug-1994,2.90,1.90,0.00,,7.40,25.80,,32.30,10.20,265.90,5.19,,"3,044.89",22.35,6.74,20.79
Sep-1994,3.00,1.50,0.20,,6.50,27.30,,33.60,10.50,221.20,5.32,,"2,253.15",22.31,6.71,19.47
Oct-1994,2.60,1.50,0.70,,5.80,27.70,,33.10,10.70,209.10,5.63,,"1,703.17",22.37,6.83,18.04
Nov-1994,2.70,1.80,1.00,,6.10,27.50,,32.40,10.70,204.40,5.34,,"1,267.54",22.16,6.93,17.59
Dec-1994,2.70,2.00,0.70,,5.60,25.50,,32.30,10.20,215.10,4.67,,916.46,22.59,7.05,15.38
